股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,原因
GNLN,US,"Greenlane Holdings, Inc. - Class A Common Stock",Tobacco,通用,ROE、现金流、资产负债率,-,0.03,-281.1%,126.2%,-15881000.00,9.6%,-,-216.19,未分红/不适用,-68.3%,4,6,80,Medium,低,排除,0,PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；利息覆盖倍数过低；近5年营收明显下滑；数据质量为Medium，筛选结果置信度中等
GNLX,US,Genelux Corporation - Common Stock,Biotechnology,科技,营收增长、自由现金流、研发投入效率,-,9.49,-130.7%,120.3%,-18223750.00,39.3%,-,-,未分红/不适用,-91.0%,4,6,80,Medium,低,排除,0,科技公司营收增长转负；科技公司自由现金流为负；10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；近5年自由现金流多次为负；近5年营收明显下滑；数据质量为Medium，筛选结果置信度中等
GNPX,US,"Genprex, Inc. - Common Stock",Biotechnology,科技,营收增长、自由现金流、研发投入效率,-,0.35,-507.4%,545.9%,-21245609.50,21.6%,-,-20.93,未分红/不适用,-,4,6,80,Medium,低,排除,0,科技公司自由现金流为负；PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等
GNSS,US,Genasys Inc. - Common Stock,Scientific & Technical Instruments,通用,ROE、现金流、资产负债率,-,44.50,-275.8%,379.0%,-9601750.00,96.6%,21.1%,-10.42,未分红/不适用,-9.0%,4,6,80,Medium,中,排除,0,10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；近5年自由现金流多次为负；资产负债率过高；商誉占比偏高；利息覆盖倍数过低；近5年营收增长偏弱；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等
GNTX,US,Gentex Corporation - Common Stock,Auto Parts,通用,ROE、现金流、资产负债率,12.96,1.96,16.5%,1.5%,339230067.25,14.9%,12.2%,-,未分红/不适用,9.7%,4,6,80,Medium,低,通过,85,数据质量为Medium，筛选结果置信度中等
GO,US,Grocery Outlet Holding Corp. - Common Stock,Grocery Stores,通用,ROE、现金流、资产负债率,-,0.75,-1.8%,14.1%,14189500.00,68.2%,20.5%,-6.92,未分红/不适用,9.4%,4,6,80,Medium,中,排除,0,PB低但近5年出现亏损；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；商誉占比偏高；利息覆盖倍数过低；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等
GOAI,US,Eva Live Inc. - Common Stock,Software - Infrastructure,科技,营收增长、自由现金流、研发投入效率,13.69,11.52,80.5%,671.2%,-785209.50,40.6%,-,-,未分红/不适用,132.8%,4,0,80,Medium,低,排除,15,科技公司自由现金流为负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；数据质量为Medium，筛选结果置信度中等
GOCO,US,"GoHealth, Inc. - Class A Common Stock",Insurance Brokers,保险,偿付能力、久期缺口、投资收益质量,-,0.38,-85.4%,125.4%,-5682500.00,100.5%,-,-4.74,未分红/不适用,-16.9%,4,6,80,Medium,中,排除,0,保险需补充偿付能力/久期缺口专项数据；PB低但近5年出现亏损；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率过高；利息覆盖倍数过低；近5年营收明显下滑；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等
GOGO,US,Gogo Inc. - Common Stock,Telecom Services,通用,ROE、现金流、资产负债率,39.55,5.26,75.0%,195.1%,43017000.00,92.2%,14.8%,1.36,未分红/不适用,31.1%,4,6,80,Medium,中,排除,0,10年ROE波动较大；10年净利润波动较大；资产负债率过高；利息覆盖倍数过低；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等
GOOD,US,Gladstone Commercial Corporation - Real Estate Investment Trust,REIT - Diversified,地产,净负债率、现金短债比、资产负债率,68.53,3.65,8.4%,5.0%,-,86.2%,-,1.46,未分红/不适用,2.7%,4,6,80,Medium,中,排除,0,地产需补充净负债率/现金短债比专项数据；地产资产负债率偏高；资产负债率过高；利息覆盖倍数过低；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等
GOOG,US,Alphabet Inc. - Class C Capital Stock,Internet Content & Information,科技,营收增长、自由现金流、研发投入效率,30.07,9.98,28.0%,4.0%,68883750000.00,-,5.6%,216.80,未分红/不适用,12.5%,0,10,0,Insufficient,未知,数据不足,0,数据年数不足，无法进行可靠筛选
GOOGL,US,Alphabet Inc. - Class A Common Stock,Internet Content & Information,科技,营收增长、自由现金流、研发投入效率,30.35,10.07,28.0%,4.0%,68883750000.00,-,5.6%,216.80,未分红/不适用,12.5%,0,10,0,Insufficient,未知,数据不足,0,数据年数不足，无法进行可靠筛选
GOSS,US,"Gossamer Bio, Inc. - Common Stock",Biotechnology,科技,营收增长、自由现金流、研发投入效率,-,-0.61,-559.7%,911.5%,-179426000.00,171.3%,-,-14.51,未分红/不适用,-,4,6,80,Medium,低,排除,0,科技公司自由现金流为负；PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；资产负债率过高；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等
GOVX,US,"GeoVax Labs, Inc. - Common Stock",Biotechnology,科技,营收增长、自由现金流、研发投入效率,-,0.57,-389.9%,229.3%,-22646199.00,39.7%,-,-,未分红/不适用,212.5%,4,6,80,Medium,低,排除,0,科技公司自由现金流为负；PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；近5年自由现金流多次为负；数据质量为Medium，筛选结果置信度中等
GP,US,GreenPower Motor Company Inc. - Common Shares,Farm & Heavy Construction Machinery,周期,利润波动、ROE波动、资本开支周期,-,-1.15,226.4%,626.0%,-10809724.75,104.6%,-,-7.58,未分红/不适用,4.8%,4,0,80,Medium,低,排除,0,周期行业ROE波动显著；PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；近5年自由现金流多次为负；资产负债率过高；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等
