股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,原因
003019,CN,宸展光电,-,通用,ROE、现金流、资产负债率,-,-,25.2%,18.4%,-,35.9%,-,-,未分红/不适用,12.2%,10,10,100,High,未知,警惕,85,10年ROE波动较大
003020,CN,立方制药,-,通用,ROE、现金流、资产负债率,-,-,17.3%,5.7%,-,24.5%,-,-,未分红/不适用,-9.1%,10,10,100,High,未知,警惕,85,近5年营收增长偏弱
003021,CN,兆威机电,-,通用,ROE、现金流、资产负债率,-,-,26.4%,25.0%,-,19.3%,-,-,未分红/不适用,10.8%,10,10,100,High,未知,警惕,85,10年ROE波动较大
003022,CN,联泓新科,-,通用,ROE、现金流、资产负债率,-,-,10.8%,6.5%,-,67.0%,-,-,未分红/不适用,-4.4%,10,10,100,High,未知,通过,100,-
003023,CN,彩虹集团,-,通用,ROE、现金流、资产负债率,-,-,11.0%,5.2%,-,22.7%,-,-,未分红/不适用,0.0%,10,10,100,High,未知,通过,100,-
003025,CN,思进智能,-,通用,ROE、现金流、资产负债率,-,-,17.4%,4.7%,-,23.7%,-,-,未分红/不适用,11.3%,10,10,100,High,未知,通过,100,-
003026,CN,中晶科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,14.0%,11.0%,-,46.8%,-,-,未分红/不适用,-0.5%,10,10,100,High,未知,警惕,70,科技公司营收增长转负；10年净利润波动较大
003027,CN,同兴科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,16.2%,14.1%,-,26.7%,-,-,未分红/不适用,-6.2%,10,10,100,High,未知,警惕,55,科技公司营收增长转负；10年ROE波动较大；近5年营收增长偏弱
003028,CN,振邦智能,-,通用,ROE、现金流、资产负债率,-,-,23.0%,12.4%,-,35.1%,-,-,未分红/不适用,0.9%,10,10,100,High,未知,警惕,85,10年ROE波动较大
003029,CN,吉大正元,-,通用,ROE、现金流、资产负债率,-,-,3.9%,11.6%,-,35.7%,-,-,未分红/不适用,-16.0%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%；近5年营收明显下滑
003030,CN,祖名股份,-,通用,ROE、现金流、资产负债率,-,-,9.1%,7.5%,-,54.6%,-,-,未分红/不适用,10.9%,10,10,100,High,未知,通过,100,-
003031,CN,中瓷电子,-,科技,营收增长、自由现金流、研发投入效率,-,-,16.9%,6.6%,-,19.3%,-,-,未分红/不适用,29.8%,10,10,100,High,未知,警惕,85,10年净利润波动较大
003033,CN,征和工业,-,通用,ROE、现金流、资产负债率,-,-,17.7%,6.9%,-,45.0%,-,-,未分红/不适用,9.1%,10,10,100,High,未知,通过,100,-
003035,CN,南网能源,-,通用,ROE、现金流、资产负债率,-,-,-0.4%,30.5%,-,66.2%,-,-,未分红/不适用,8.9%,10,10,100,High,未知,排除,45,10年ROE波动较大；长期ROE低于5%
003036,CN,泰坦股份,-,通用,ROE、现金流、资产负债率,-,-,9.1%,2.9%,-,54.7%,-,-,未分红/不适用,5.0%,10,10,100,High,未知,通过,100,-
003037,CN,三和管桩,-,通用,ROE、现金流、资产负债率,-,-,22.1%,26.6%,-,59.7%,-,-,未分红/不适用,-7.0%,10,10,100,High,未知,警惕,70,10年ROE波动较大；近5年营收增长偏弱
003038,CN,鑫铂股份,-,通用,ROE、现金流、资产负债率,-,-,15.7%,12.7%,-,74.8%,-,-,未分红/不适用,33.5%,9,9,100,High,未知,警惕,55,10年ROE波动较大；10年净利润波动较大；资产负债率偏高
003039,CN,顺控发展,-,通用,ROE、现金流、资产负债率,-,-,12.5%,3.4%,-,52.6%,-,-,未分红/不适用,13.6%,10,10,100,High,未知,通过,100,-
003040,CN,楚天龙,-,通用,ROE、现金流、资产负债率,-,-,13.1%,13.9%,-,26.2%,-,-,未分红/不适用,-6.5%,9,9,100,High,未知,警惕,70,10年ROE波动较大；近5年营收增长偏弱
003041,CN,真爱美家,-,通用,ROE、现金流、资产负债率,-,-,13.9%,5.6%,-,35.2%,-,-,未分红/不适用,1.3%,10,10,100,High,未知,通过,100,-
003042,CN,中农联合,-,通用,ROE、现金流、资产负债率,-,-,9.5%,17.7%,-,68.1%,-,-,未分红/不适用,3.4%,10,10,100,High,未知,排除,30,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大
003043,CN,华亚智能,-,通用,ROE、现金流、资产负债率,-,-,15.7%,7.1%,-,31.7%,-,-,未分红/不适用,17.3%,10,10,100,High,未知,通过,100,-
003816,CN,中国广核,-,通用,ROE、现金流、资产负债率,-,-,11.2%,2.2%,-,65.2%,-,-,未分红/不适用,-1.6%,10,10,100,High,未知,通过,100,-
300001,CN,特锐德,-,通用,ROE、现金流、资产负债率,-,-,8.3%,3.9%,-,63.0%,-,-,未分红/不适用,13.7%,10,10,100,High,未知,警惕,85,10年净利润波动较大
300002,CN,神州泰岳,-,通用,ROE、现金流、资产负债率,-,-,6.1%,15.1%,-,12.6%,-,-,未分红/不适用,7.8%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
300003,CN,乐普医疗,-,通用,ROE、现金流、资产负债率,-,-,14.5%,7.2%,-,32.1%,-,-,未分红/不适用,-11.7%,10,10,100,High,未知,警惕,85,近5年营收增长偏弱
300004,CN,南风股份,-,通用,ROE、现金流、资产负债率,-,-,12.2%,44.6%,-,18.6%,-,-,未分红/不适用,-9.4%,10,10,100,High,未知,排除,15,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱
300005,CN,探路者,-,通用,ROE、现金流、资产负债率,-,-,0.8%,6.3%,-,26.8%,-,-,未分红/不适用,2.7%,10,10,100,High,未知,排除,5,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%
300006,CN,莱美药业,-,通用,ROE、现金流、资产负债率,-,-,-4.6%,21.2%,-,31.5%,-,-,未分红/不适用,-10.8%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱
300007,CN,汉威科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,6.4%,6.3%,-,40.7%,-,-,未分红/不适用,1.0%,10,10,100,High,未知,警惕,85,10年净利润波动较大
300008,CN,天海防务,-,通用,ROE、现金流、资产负债率,-,-,-11.8%,40.7%,-,59.0%,-,-,未分红/不适用,34.3%,10,10,100,High,未知,排除,30,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
300009,CN,安科生物,-,通用,ROE、现金流、资产负债率,-,-,16.0%,6.3%,-,14.6%,-,-,未分红/不适用,5.1%,10,10,100,High,未知,通过,100,-
300011,CN,鼎汉技术,-,通用,ROE、现金流、资产负债率,-,-,2.8%,31.0%,-,61.4%,-,-,未分红/不适用,5.7%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
300012,CN,华测检测,-,通用,ROE、现金流、资产负债率,-,-,13.5%,4.7%,-,23.9%,-,-,未分红/不适用,11.2%,10,10,100,High,未知,通过,100,-
300013,CN,新宁物流,-,通用,ROE、现金流、资产负债率,-,-,-23.3%,80.5%,-,71.9%,-,-,未分红/不适用,-4.9%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高
300014,CN,亿纬锂能,-,通用,ROE、现金流、资产负债率,-,-,16.4%,4.5%,-,64.2%,-,-,未分红/不适用,38.1%,10,10,100,High,未知,通过,100,-
300015,CN,爱尔眼科,-,通用,ROE、现金流、资产负债率,-,-,19.7%,2.3%,-,36.2%,-,-,未分红/不适用,10.5%,10,10,100,High,未知,通过,100,-
300016,CN,北陆药业,-,通用,ROE、现金流、资产负债率,-,-,21.6%,28.2%,-,27.8%,-,-,未分红/不适用,8.8%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
300017,CN,网宿科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,11.0%,11.7%,-,13.0%,-,-,未分红/不适用,0.5%,10,10,100,High,未知,通过,100,-
300018,CN,中元股份,-,通用,ROE、现金流、资产负债率,-,-,9.2%,26.8%,-,17.7%,-,-,未分红/不适用,11.7%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
300019,CN,硅宝科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,12.6%,4.0%,-,34.0%,-,-,未分红/不适用,10.1%,10,10,100,High,未知,通过,100,-
300021,CN,大禹节水,-,通用,ROE、现金流、资产负债率,-,-,5.7%,2.3%,-,70.6%,-,-,未分红/不适用,1.7%,10,10,100,High,未知,警惕,85,资产负债率偏高
300022,CN,吉峰科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,-9.8%,32.2%,-,59.1%,-,-,未分红/不适用,3.8%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
300024,CN,机器人,-,通用,ROE、现金流、资产负债率,-,-,-0.3%,7.4%,-,61.8%,-,-,未分红/不适用,5.7%,10,10,100,High,未知,排除,5,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%
300025,CN,华星创业,-,通用,ROE、现金流、资产负债率,-,-,-12.9%,16.3%,-,45.3%,-,-,未分红/不适用,-5.6%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱
300026,CN,红日药业,-,通用,ROE、现金流、资产负债率,-,-,10.7%,7.1%,-,16.7%,-,-,未分红/不适用,-10.4%,10,10,100,High,未知,警惕,85,近5年营收增长偏弱
300030,CN,阳普医疗,-,通用,ROE、现金流、资产负债率,-,-,-3.4%,12.2%,-,36.2%,-,-,未分红/不适用,-11.7%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱
300031,CN,宝通科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,7.1%,7.5%,-,33.5%,-,-,未分红/不适用,5.8%,10,10,100,High,未知,警惕,85,10年净利润波动较大
300032,CN,金龙机电,-,通用,ROE、现金流、资产负债率,-,-,-16.2%,27.4%,-,57.3%,-,-,未分红/不适用,-4.4%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
300033,CN,同花顺,-,通用,ROE、现金流、资产负债率,-,-,30.0%,9.6%,-,40.0%,-,-,未分红/不适用,14.5%,10,10,100,High,未知,通过,100,-
300034,CN,钢研高纳,-,通用,ROE、现金流、资产负债率,-,-,8.0%,2.9%,-,45.7%,-,-,未分红/不适用,16.6%,10,10,100,High,未知,通过,100,-
300035,CN,中科电气,-,通用,ROE、现金流、资产负债率,-,-,16.4%,24.7%,-,62.2%,-,-,未分红/不适用,40.2%,10,10,100,High,未知,警惕,85,10年ROE波动较大
300036,CN,超图软件,-,科技,营收增长、自由现金流、研发投入效率,-,-,5.5%,8.2%,-,31.4%,-,-,未分红/不适用,-5.3%,10,10,100,High,未知,警惕,55,科技公司营收增长转负；10年净利润波动较大；近5年营收增长偏弱
300037,CN,新宙邦,-,通用,ROE、现金流、资产负债率,-,-,13.8%,4.9%,-,43.2%,-,-,未分红/不适用,8.5%,10,10,100,High,未知,通过,100,-
300039,CN,上海凯宝,-,通用,ROE、现金流、资产负债率,-,-,10.8%,5.3%,-,7.5%,-,-,未分红/不适用,1.2%,10,10,100,High,未知,通过,100,-
300040,CN,九洲集团,-,通用,ROE、现金流、资产负债率,-,-,1.8%,8.2%,-,63.8%,-,-,未分红/不适用,0.7%,10,10,100,High,未知,排除,45,10年净利润波动较大；长期ROE低于5%
300041,CN,回天新材,-,通用,ROE、现金流、资产负债率,-,-,8.6%,2.9%,-,52.9%,-,-,未分红/不适用,10.7%,10,10,100,High,未知,通过,100,-
300042,CN,朗科科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,3.3%,5.8%,-,22.1%,-,-,未分红/不适用,-10.3%,10,10,100,High,未知,排除,15,科技公司营收增长转负；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱
300043,CN,星辉娱乐,-,通用,ROE、现金流、资产负债率,-,-,8.7%,32.7%,-,37.3%,-,-,未分红/不适用,10.4%,10,10,100,High,未知,排除,30,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大
300045,CN,华力创通,-,通用,ROE、现金流、资产负债率,-,-,-2.1%,7.4%,-,36.0%,-,-,未分红/不适用,4.1%,10,10,100,High,未知,排除,5,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%
300046,CN,台基股份,-,通用,ROE、现金流、资产负债率,-,-,1.4%,11.0%,-,8.8%,-,-,未分红/不适用,2.2%,10,10,100,High,未知,排除,45,10年净利润波动较大；长期ROE低于5%
300047,CN,天源迪科,-,通用,ROE、现金流、资产负债率,-,-,38.0%,43.1%,-,57.2%,-,-,未分红/不适用,13.7%,10,10,100,High,未知,警惕,85,10年ROE波动较大
300048,CN,合康新能,-,通用,ROE、现金流、资产负债率,-,-,3.2%,22.7%,-,61.6%,-,-,未分红/不适用,57.7%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
300049,CN,福瑞医科,-,通用,ROE、现金流、资产负债率,-,-,5.8%,2.1%,-,28.1%,-,-,未分红/不适用,15.4%,10,10,100,High,未知,通过,100,-
300050,CN,世纪鼎利,-,通用,ROE、现金流、资产负债率,-,-,-18.0%,28.4%,-,31.7%,-,-,未分红/不适用,-6.2%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱
300051,CN,琏升科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,-26.7%,26.5%,-,81.0%,-,-,未分红/不适用,20.5%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高
300052,CN,中青宝,-,通用,ROE、现金流、资产负债率,-,-,-5.6%,8.7%,-,53.1%,-,-,未分红/不适用,-14.0%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱
300053,CN,航宇微,-,通用,ROE、现金流、资产负债率,-,-,-6.3%,11.6%,-,35.3%,-,-,未分红/不适用,-20.6%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%；近5年营收明显下滑
300054,CN,鼎龙股份,-,通用,ROE、现金流、资产负债率,-,-,16.0%,26.8%,-,39.2%,-,-,未分红/不适用,11.6%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
300055,CN,万邦达,-,通用,ROE、现金流、资产负债率,-,-,7.0%,22.2%,-,39.5%,-,-,未分红/不适用,6.8%,10,10,100,High,未知,排除,30,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大
300056,CN,中创环保,-,通用,ROE、现金流、资产负债率,-,-,-29.0%,27.7%,-,100.6%,-,-,未分红/不适用,-23.8%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率过高；近5年营收明显下滑
300057,CN,万顺新材,-,通用,ROE、现金流、资产负债率,-,-,-7.6%,29.5%,-,52.2%,-,-,未分红/不适用,1.6%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
300058,CN,蓝色光标,-,通用,ROE、现金流、资产负债率,-,-,2.1%,10.8%,-,68.6%,-,-,未分红/不适用,14.4%,10,10,100,High,未知,排除,45,10年净利润波动较大；长期ROE低于5%
300059,CN,东方财富,-,通用,ROE、现金流、资产负债率,-,-,12.0%,5.4%,-,76.6%,-,-,未分红/不适用,5.2%,10,10,100,High,未知,警惕,85,资产负债率偏高
300061,CN,旗天科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,-16.0%,22.3%,-,57.7%,-,-,未分红/不适用,-20.9%,10,10,100,High,未知,排除,0,科技公司营收增长转负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收明显下滑
300062,CN,中能电气,-,通用,ROE、现金流、资产负债率,-,-,0.5%,5.9%,-,48.3%,-,-,未分红/不适用,3.0%,10,10,100,High,未知,排除,5,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%
300063,CN,天龙集团,-,通用,ROE、现金流、资产负债率,-,-,6.2%,36.5%,-,46.1%,-,-,未分红/不适用,-8.2%,10,10,100,High,未知,警惕,55,10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱
300065,CN,海兰信,-,通用,ROE、现金流、资产负债率,-,-,3.9%,21.1%,-,27.8%,-,-,未分红/不适用,-5.6%,10,10,100,High,未知,排除,15,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱
300066,CN,三川智慧,-,通用,ROE、现金流、资产负债率,-,-,8.2%,3.1%,-,17.6%,-,-,未分红/不适用,5.3%,10,10,100,High,未知,通过,100,-
300067,CN,安诺其,-,通用,ROE、现金流、资产负债率,-,-,6.1%,13.3%,-,29.1%,-,-,未分红/不适用,-1.1%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
300069,CN,金利华电,-,通用,ROE、现金流、资产负债率,-,-,-5.8%,15.4%,-,60.4%,-,-,未分红/不适用,-0.7%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
300070,CN,碧水源,-,通用,ROE、现金流、资产负债率,-,-,9.9%,7.4%,-,62.4%,-,-,未分红/不适用,-5.0%,10,10,100,High,未知,通过,100,-
300071,CN,福石控股,-,通用,ROE、现金流、资产负债率,-,-,-23.3%,74.0%,-,88.7%,-,-,未分红/不适用,-0.4%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率过高
300072,CN,海新能科,-,通用,ROE、现金流、资产负债率,-,-,11.8%,35.5%,-,32.7%,-,-,未分红/不适用,-16.0%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；近5年营收明显下滑
300073,CN,当升科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,11.0%,9.1%,-,31.1%,-,-,未分红/不适用,5.9%,10,10,100,High,未知,警惕,85,10年净利润波动较大
300074,CN,华平股份,-,通用,ROE、现金流、资产负债率,-,-,5.7%,26.9%,-,38.1%,-,-,未分红/不适用,-9.9%,10,10,100,High,未知,排除,15,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱
300075,CN,数字政通,-,通用,ROE、现金流、资产负债率,-,-,3.2%,7.7%,-,17.1%,-,-,未分红/不适用,-20.2%,10,10,100,High,未知,排除,5,10年净利润波动较大；长期ROE低于5%；近5年营收明显下滑
300077,CN,国民技术,-,通用,ROE、现金流、资产负债率,-,-,-6.8%,47.4%,-,73.8%,-,-,未分红/不适用,7.5%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高
300078,CN,思创智联,-,通用,ROE、现金流、资产负债率,-,-,-22.4%,53.4%,-,45.4%,-,-,未分红/不适用,-8.2%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱
300079,CN,数码视讯,-,通用,ROE、现金流、资产负债率,-,-,20.1%,29.1%,-,9.3%,-,-,未分红/不适用,-8.1%,10,10,100,High,未知,警惕,70,10年ROE波动较大；近5年营收增长偏弱
300080,CN,易成新能,-,通用,ROE、现金流、资产负债率,-,-,13.9%,36.9%,-,63.1%,-,-,未分红/不适用,-11.6%,10,10,100,High,未知,排除,15,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱
300082,CN,奥克股份,-,通用,ROE、现金流、资产负债率,-,-,8.3%,10.4%,-,48.7%,-,-,未分红/不适用,-10.9%,10,10,100,High,未知,警惕,70,10年净利润波动较大；近5年营收增长偏弱
300083,CN,创世纪,-,通用,ROE、现金流、资产负债率,-,-,0.0%,30.4%,-,53.8%,-,-,未分红/不适用,0.3%,10,10,100,High,未知,排除,30,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
300084,CN,海默科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,4.7%,33.3%,-,34.9%,-,-,未分红/不适用,1.2%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
300085,CN,银之杰,-,通用,ROE、现金流、资产负债率,-,-,-5.1%,19.2%,-,53.2%,-,-,未分红/不适用,-10.6%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱
300086,CN,康芝药业,-,通用,ROE、现金流、资产负债率,-,-,25.0%,44.3%,-,48.6%,-,-,未分红/不适用,-13.6%,10,10,100,High,未知,排除,15,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱
300087,CN,荃银高科,-,通用,ROE、现金流、资产负债率,-,-,10.2%,9.9%,-,69.0%,-,-,未分红/不适用,15.6%,10,10,100,High,未知,警惕,85,10年净利润波动较大
300088,CN,长信科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,9.8%,5.1%,-,51.5%,-,-,未分红/不适用,13.3%,10,10,100,High,未知,通过,100,-
300092,CN,科新机电,-,通用,ROE、现金流、资产负债率,-,-,8.5%,5.2%,-,28.1%,-,-,未分红/不适用,4.9%,10,10,100,High,未知,通过,100,-
300094,CN,国联水产,-,通用,ROE、现金流、资产负债率,-,-,-31.8%,51.0%,-,96.0%,-,-,未分红/不适用,-7.5%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率过高；近5年营收增长偏弱
300095,CN,华伍股份,-,通用,ROE、现金流、资产负债率,-,-,0.7%,9.7%,-,49.1%,-,-,未分红/不适用,-2.7%,10,10,100,High,未知,排除,5,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%
300097,CN,智云股份,-,通用,ROE、现金流、资产负债率,-,-,-20.5%,35.8%,-,66.2%,-,-,未分红/不适用,-29.6%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收明显下滑
300098,CN,高新兴,-,通用,ROE、现金流、资产负债率,-,-,-6.4%,12.5%,-,45.4%,-,-,未分红/不适用,-7.1%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱
300099,CN,尤洛卡,-,通用,ROE、现金流、资产负债率,-,-,5.8%,2.1%,-,9.5%,-,-,未分红/不适用,-6.4%,10,10,100,High,未知,警惕,85,近5年营收增长偏弱
300100,CN,双林股份,-,通用,ROE、现金流、资产负债率,-,-,3.7%,17.5%,-,54.1%,-,-,未分红/不适用,10.5%,10,10,100,High,未知,排除,30,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
300101,CN,振芯科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,11.2%,15.0%,-,36.4%,-,-,未分红/不适用,4.7%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
300103,CN,达刚控股,-,通用,ROE、现金流、资产负债率,-,-,-6.2%,14.7%,-,34.8%,-,-,未分红/不适用,-37.5%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收明显下滑
300105,CN,龙源技术,-,通用,ROE、现金流、资产负债率,-,-,26.6%,29.9%,-,30.0%,-,-,未分红/不适用,15.4%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
300106,CN,西部牧业,-,通用,ROE、现金流、资产负债率,-,-,-10.1%,15.3%,-,51.2%,-,-,未分红/不适用,-4.8%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
300107,CN,建新股份,-,通用,ROE、现金流、资产负债率,-,-,18.5%,31.0%,-,9.1%,-,-,未分红/不适用,-7.2%,10,10,100,High,未知,警惕,55,10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱
300109,CN,新开源,-,通用,ROE、现金流、资产负债率,-,-,7.3%,3.4%,-,16.3%,-,-,未分红/不适用,-0.9%,10,10,100,High,未知,通过,100,-
300110,CN,华仁药业,-,通用,ROE、现金流、资产负债率,-,-,-7.9%,26.1%,-,66.4%,-,-,未分红/不适用,-4.1%,10,10,100,High,未知,排除,30,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
300111,CN,向日葵,-,通用,ROE、现金流、资产负债率,-,-,-32.6%,80.9%,-,16.8%,-,-,未分红/不适用,-2.2%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%
300112,CN,万讯自控,-,通用,ROE、现金流、资产负债率,-,-,3.7%,5.6%,-,37.7%,-,-,未分红/不适用,2.1%,10,10,100,High,未知,排除,45,10年净利润波动较大；长期ROE低于5%
300113,CN,顺网科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,8.3%,12.0%,-,14.3%,-,-,未分红/不适用,11.2%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
300115,CN,长盈精密,-,通用,ROE、现金流、资产负债率,-,-,21.9%,32.2%,-,63.8%,-,-,未分红/不适用,14.2%,10,10,100,High,未知,警惕,70,10年ROE波动较大；10年净利润波动较大
300118,CN,东方日升,-,通用,ROE、现金流、资产负债率,-,-,-3.3%,23.6%,-,72.7%,-,-,未分红/不适用,-9.6%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高；近5年营收增长偏弱
300119,CN,瑞普生物,-,通用,ROE、现金流、资产负债率,-,-,9.6%,4.0%,-,32.3%,-,-,未分红/不适用,14.1%,10,10,100,High,未知,通过,100,-
300120,CN,经纬辉开,-,通用,ROE、现金流、资产负债率,-,-,5.4%,18.6%,-,39.7%,-,-,未分红/不适用,-6.0%,10,10,100,High,未知,警惕,55,10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱
300121,CN,阳谷华泰,-,通用,ROE、现金流、资产负债率,-,-,15.8%,8.9%,-,19.5%,-,-,未分红/不适用,6.2%,10,10,100,High,未知,通过,100,-
300122,CN,智飞生物,-,通用,ROE、现金流、资产负债率,-,-,23.9%,37.8%,-,49.2%,-,-,未分红/不适用,-26.5%,10,10,100,High,未知,排除,30,10年ROE波动较大；10年净利润波动较大；近5年营收明显下滑
300124,CN,汇川技术,-,通用,ROE、现金流、资产负债率,-,-,20.4%,4.0%,-,47.9%,-,-,未分红/不适用,25.9%,10,10,100,High,未知,通过,100,-
300126,CN,锐奇股份,-,通用,ROE、现金流、资产负债率,-,-,35.7%,38.7%,-,17.7%,-,-,未分红/不适用,-5.9%,10,10,100,High,未知,排除,15,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱
300127,CN,银河磁体,-,通用,ROE、现金流、资产负债率,-,-,12.6%,1.9%,-,8.4%,-,-,未分红/不适用,-0.1%,10,10,100,High,未知,通过,100,-
300128,CN,锦富技术,-,通用,ROE、现金流、资产负债率,-,-,-22.0%,22.1%,-,85.9%,-,-,未分红/不适用,23.1%,10,10,100,High,未知,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率过高
